Time (sec)	L-shell	10 MeV/G	32 MeV/G	100 MeV/G	320 MeV/G	1000 MeV/G	3200 MeV/G	10000 MeV/G	32000 MeV/G	100000 MeV/G	320000 MeV/G
218741105	6.1058	9.40596E-05	2.87718E-06	1.94906E-07	1.82517E-08	2.16223E-09	2.70252E-10	3.70885E-11	5.02381E-12	7.19746E-13	9.98899E-14
218739905	6.3458	9.79919E-05	5.32039E-06	4.01094E-07	3.5951E-08	3.90771E-09	4.41627E-10	5.46967E-11	6.66285E-12	8.59839E-13	1.07234E-13
218739305	6.4684	0.000109899	6.52756E-06	5.04391E-07	4.45966E-08	4.70055E-09	5.10896E-10	6.06978E-11	7.07486E-12	8.73698E-13	1.04128E-13
218738105	6.7175	0.000105778	7.54788E-06	6.43819E-07	5.87742E-08	6.11569E-09	6.38863E-10	7.19342E-11	7.8701E-12	9.09154E-13	1.00947E-13
391021505	7.0414	0.000175375	1.39093E-05	1.19203E-06	1.03487E-07	1.01061E-08	9.90607E-10	1.0521E-10	1.08808E-11	1.19211E-12	1.25569E-13
391020905	7.0690	0.000156532	1.43148E-05	1.36609E-06	1.25332E-07	1.23027E-08	1.17206E-09	1.18682E-10	1.16E-11	1.18587E-12	1.16407E-13
218736305	7.0964	0.000130719	9.1568E-06	7.66473E-07	6.88363E-08	7.05657E-09	7.25085E-10	8.01821E-11	8.59826E-12	9.72873E-13	1.05682E-13
391019705	7.1406	0.000182224	1.73014E-05	1.71287E-06	1.60203E-07	1.55933E-08	1.43623E-09	1.38259E-10	1.26407E-11	1.21148E-12	1.10468E-13
391028105	7.1608	0.000163352	1.15966E-05	9.44296E-07	8.14488E-08	8.10942E-09	8.2168E-10	9.07517E-11	9.80257E-12	1.1228E-12	1.23886E-13
391019105	7.1831	0.000303152	2.52081E-05	2.20428E-06	1.86108E-07	1.69273E-08	1.49745E-09	1.41344E-10	1.28286E-11	1.22991E-12	1.12687E-13
